x = 0.100000 real_y = 0.005000 approx_y = 0.005000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.200000 real_y = 0.020000 approx_y = 0.020000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.300000 real_y = 0.045000 approx_y = 0.045000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.400000 real_y = 0.080000 approx_y = 0.080000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.500000 real_y = 0.125000 approx_y = 0.125000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.600000 real_y = 0.180000 approx_y = 0.180000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.700000 real_y = 0.245000 approx_y = 0.245000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.800000 real_y = 0.320000 approx_y = 0.320000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 0.900000 real_y = 0.405000 approx_y = 0.405000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

x = 1.000000 real_y = 0.500000 approx_y = 0.500000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000000 

